2.030989638207443889e-06 4.936457064239793701e+11
2.067356697693331024e-06 2.147469030786071777e+10
2.104374948593866968e-06 2.016481336139950943e+10
2.142056051193514550e-06 2.019560821309285355e+10
2.180411874566697649e-06 1.941927534628791809e+10
2.219454500316422502e-06 1.864816747102152252e+10
2.259196226379809549e-06 1.918766392803387451e+10
2.299649570901819042e-06 1.924065844183901215e+10
2.340827276178294449e-06 1.819227575166095352e+10
2.382742312669612403e-06 1.776257643160283279e+10
2.425407883086242361e-06 1.689214512269315338e+10
2.468837426547417916e-06 1.666414237136398697e+10
2.513044622814297023e-06 1.452489659019082642e+10
2.558043396598898231e-06 1.087012537383959389e+10
2.603847921950238871e-06 5.108557012194252014e+09
2.650472626718966952e-06 5.300027684077638626e+09
2.697932197101938980e-06 5.151965580774078369e+09
2.746241582268217986e-06 5.367443580342081070e+09
2.795415999067853763e-06 5.478625393338897705e+09
2.845470936825008961e-06 5.218695285428644180e+09
2.896422162216882415e-06 5.423809599324993134e+09
2.948285724240044153e-06 5.154075936245634079e+09
3.001077959265656358e-06 5.066921822818620682e+09
3.054815496185201478e-06 5.014435467589041710e+09
3.109515261648414973e-06 5.138963768252296448e+09
3.165194485394941393e-06 4.822747288343614578e+09
3.221870705681498516e-06 4.833153412240882874e+09
3.279561774806183033e-06 4.798822914368125916e+09
3.338285864731757529e-06 4.530681423626999855e+09
3.398061472809575160e-06 4.800071391012319565e+09
3.458907427605987678e-06 4.362731227397644997e+09
3.520842894833153237e-06 4.575125189948149681e+09
3.583887383385963455e-06 4.280341833790900230e+09
3.648060751487118790e-06 4.128483973578967094e+09
3.713383212942186062e-06 4.014921179979096413e+09
3.779875343506741309e-06 4.096799067138052464e+09
3.847558087367450006e-06 3.798142890393577576e+09
3.916452763739200959e-06 3.796704753448734283e+09
3.986581073580438997e-06 3.705035328188189507e+09
4.057965106428659017e-06 3.534813863194714546e+09
4.130627347358355170e-06 3.553757318383390903e+09
4.204590684063499550e-06 3.319280079744726181e+09
4.279878414066930145e-06 3.247507037374930382e+09
